label,level,F,G,H,allocation_vector,utilities_vector,log_utilities_vector,pruned,prune_reason
S26,5,28.4464,22.4314,6.015,"[1, None, None, 3, None, 2, 4, 2, None, None]","[0, 154, 270, 357, 366]","[0.0, 5.0434, 5.6021, 5.8805, 5.9054]",False,
S27,5,28.2817,22.236,6.0457,"[1, None, None, 3, None, 2, 4, 3, None, None]","[0, 154, 197, 402, 366]","[0.0, 5.0434, 5.2883, 5.9989, 5.9054]",False,
S28,5,28.3999,22.3543,6.0457,"[1, None, None, 3, None, 2, 4, 4, None, None]","[0, 154, 197, 357, 464]","[0.0, 5.0434, 5.2883, 5.8805, 6.142]",False,
S16,4,28.4155,17.4963,10.9192,"[2, None, None, 3, None, 2, 4, None, None, None]","[0, 0, 301, 357, 366]","[0.0, 0.0, 5.7104, 5.8805, 5.9054]",False,
S17,4,28.2558,17.327,10.9288,"[3, None, None, 3, None, 2, 4, None, None, None]","[0, 0, 197, 460, 366]","[0.0, 0.0, 5.2883, 6.1334, 5.9054]",False,
S18,4,28.2672,17.3384,10.9288,"[4, None, None, 3, None, 2, 4, None, None, None]","[0, 0, 197, 357, 477]","[0.0, 0.0, 5.2883, 5.8805, 6.1696]",False,
S14,3,28.2385,12.122,16.1166,"[None, None, None, 3, None, 3, 4, None, None, None]","[0, 0, 0, 500, 366]","[0.0, 0.0, 0.0, 6.2166, 5.9054]",False,
S15,3,28.1709,12.0543,16.1166,"[None, None, None, 3, None, 4, 4, None, None, None]","[0, 0, 0, 357, 479]","[0.0, 0.0, 0.0, 5.8805, 6.1738]",False,
N2,1,28.7699,5.9216,22.8483,"[None, None, None, 4, None, None, None, None, None, None]","[0, 0, 0, 0, 372]","[0.0, 0.0, 0.0, 0.0, 5.9216]",False,
S3,2,28.0749,11.0806,16.9942,"[None, None, None, 4, None, None, 0, None, None, None]","[173, 0, 0, 0, 372]","[5.1591, 0.0, 0.0, 0.0, 5.9216]",False,
S4,2,28.3558,11.435,16.9208,"[None, None, None, 4, None, None, 1, None, None, None]","[0, 247, 0, 0, 372]","[0.0, 5.5134, 0.0, 0.0, 5.9216]",False,
S5,2,28.0788,11.0864,16.9924,"[None, None, None, 4, None, None, 2, None, None, None]","[0, 0, 174, 0, 372]","[0.0, 0.0, 5.1648, 0.0, 5.9216]",False,
S6,2,28.3337,11.4105,16.9232,"[None, None, None, 4, None, None, 3, None, None, None]","[0, 0, 0, 241, 372]","[0.0, 0.0, 0.0, 5.4889, 5.9216]",False,
S7,2,28.0127,6.6053,21.4074,"[None, None, None, 4, None, None, 4, None, None, None]","[0, 0, 0, 0, 738]","[0.0, 0.0, 0.0, 0.0, 6.6053]",False,
