m,seed,rr_nash_log,rr_utilitarian,rr_egalitarian,rr_time,astar_nash_log,astar_utilitarian,astar_egalitarian,astar_time,astar_nodes,astar_leaves,astar_solutions,astar_converged,astar_improved,astar_is_ef1
40,35,34.97981113931095,5462,1041,9.1552734375e-05,34.97981113931095,5462,1041,15.000060796737671,93855,0,0,False,False,True
40,36,34.90475419463088,5401,988,9.250640869140625e-05,34.90475419463088,5401,988,15.000163793563843,94557,0,0,False,False,True
40,37,35.06645667964394,5582,1004,9.417533874511719e-05,35.255473282256155,5780,1030,1.8751027584075928,13356,1,1,True,True,True
40,38,35.140772236168296,5657,1026,9.1552734375e-05,35.140772236168296,5657,1026,15.000090599060059,96084,0,0,False,False,True
40,39,35.09314328419497,5599,1033,9.417533874511719e-05,35.26683215494249,5793,1056,0.4850938320159912,3597,1,1,True,True,True
40,40,34.84939487644482,5338,946,9.107589721679688e-05,35.168571215059316,5669,1089,1.2095246315002441,7445,1,1,True,True,True
40,41,35.16296514561556,5669,1070,0.0003120899200439453,35.34980193044916,5883,1068,0.33075618743896484,2108,1,1,True,True,True
40,42,35.03948275866528,5526,1034,9.632110595703125e-05,35.201277791510236,5720,1031,1.9836702346801758,13493,1,1,True,True,True
40,43,34.994991778182595,5488,1010,9.34600830078125e-05,35.31657116277043,5860,1043,3.1807057857513428,20637,1,1,True,True,True
40,44,34.99129944849298,5485,963,9.107589721679688e-05,35.14262457988876,5642,1085,0.6385445594787598,4326,1,1,True,True,True
40,45,35.00379328043644,5519,885,9.560585021972656e-05,35.00379328043644,5519,885,15.000105619430542,87828,0,0,False,False,True
40,46,35.16696614543084,5714,960,0.000148773193359375,35.38292400449302,5929,1032,11.93974494934082,67625,1,1,True,True,True
40,47,34.902136300001786,5386,957,0.0001010894775390625,34.902136300001786,5386,957,15.000054836273193,90742,0,0,False,False,True
40,48,34.84241137752692,5323,987,9.512901306152344e-05,35.276187562149055,5795,1092,3.1825037002563477,19750,1,1,True,True,True
40,49,34.84433704665038,5367,833,9.107589721679688e-05,35.2300476245816,5739,1090,0.7911930084228516,5512,1,1,True,True,True
50,0,36.06483128544561,6793,1292,0.00012373924255371094,36.06483128544561,6793,1292,20.000207662582397,119515,0,0,False,False,True
50,1,36.12631574753999,6886,1240,0.0001327991485595703,36.12631574753999,6886,1240,20.000019311904907,124028,0,0,False,False,True
50,2,35.94471436043517,6625,1271,0.00012612342834472656,36.31069206839892,7127,1356,12.087843418121338,76237,1,1,True,True,True
50,3,36.173990592591935,6944,1286,0.00012803077697753906,36.173990592591935,6944,1286,20.000009775161743,120959,0,0,False,False,True
50,4,36.133289880120046,6886,1271,0.000156402587890625,36.463493806366856,7350,1344,7.6232898235321045,47681,1,1,True,True,True
50,5,36.2058510518353,7007,1197,0.00013327598571777344,36.4114481305123,7269,1388,0.12263345718383789,896,1,1,True,True,True
50,6,36.193566592375205,6977,1236,0.0001239776611328125,36.324495203653925,7146,1352,5.359631776809692,35827,1,1,True,True,True
50,7,36.115879483413266,6873,1274,0.000125885009765625,36.115879483413266,6873,1274,20.00012516975403,119462,0,0,False,False,True
50,8,36.24537351069171,7071,1178,0.00012302398681640625,36.24537351069171,7071,1178,20.000055074691772,122311,0,0,False,False,True
50,9,36.24212921566729,7040,1293,0.00012350082397460938,36.50243390622162,7404,1432,0.8487551212310791,5855,1,1,True,True,True
50,10,36.11794038284604,6864,1235,0.00013303756713867188,36.11794038284604,6864,1235,20.000133752822876,98629,0,0,False,False,True
50,11,36.31869800611237,7170,1277,0.0001888275146484375,36.31869800611237,7170,1277,20.000131607055664,119792,0,0,False,False,True
50,12,36.26970931869979,7114,1190,0.0001239776611328125,36.44577983321314,7323,1362,6.767893075942993,37733,1,1,True,True,True
50,13,36.270657260333174,7067,1352,0.0001251697540283203,36.270657260333174,7067,1352,20.000060081481934,120607,0,0,False,False,True
